"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
411936,"Чай Майский черный (2г х 200шт), 400г",https://online.metro-cc.ru/products/chernyj-majskij-v-sashetah-200h2g,,63900,МАЙСКИЙ
141110,"Чай Майский черный отборный (2г x 25шт), 50г",https://online.metro-cc.ru/products/majskij-chernyj-otbornyj-25h2-g,5490,6090,МАЙСКИЙ
240996772,"Чай Майский черный сердце цейлона (1.7г x 100шт), 170г",https://online.metro-cc.ru/products/100x17g-chay-mayskiy-chernyy-serdtse-tseylona-paketirovannyy,18900,23400,МАЙСКИЙ
240886172,"Чай Майский черный сердце цейлона (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25x17g-chay-mayskiy-chernyy-serdtse-tseylona-paketirovannyy,,7790,МАЙСКИЙ
240886177,"Чай Майский черный сердце цейлона, 100г",https://online.metro-cc.ru/products/100g-chay-mayskiy-chernyy-serdtse-tseylona-listovoy,12900,15300,МАЙСКИЙ
626272,"Чай Принцесса Канди Медиум черный, листовой, 100г",https://online.metro-cc.ru/products/100g-princessa-kandi-medium-listovoj,6590,6890,ПРИНЦЕССА КАНДИ
626167,"Чай Принцесса Канди Медиум черный, листовой, 200г",https://online.metro-cc.ru/products/200g-princessa-kandi-medium-listovoj,11900,16900,ПРИНЦЕССА КАНДИ
120011,"Чай Принцесса Канди цейлонский черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/princessa-kandi-chernyj-cejlon-100-2g,15900,17700,ПРИНЦЕССА КАНДИ
223732,"Чай Принцесса Нури Высокогорный черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/princessa-nuri-chernyj-vysokogornyj-100x2g,21900,22900,ПРИНЦЕССА НУРИ
625337,"Чай Принцесса Нури Высокогорный черный, листовой, 250г",https://online.metro-cc.ru/products/250g-princessa-nuri-vysokogornyj-listovoj,15900,18400,ПРИНЦЕССА НУРИ
625722,"Чай Принцесса Нури Лимон черный ароматизированный (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/25h15g-princessa-nuri-limon-paketirovan,6490,6790,ПРИНЦЕССА НУРИ
635241,"Чай Принцесса Нури высокогорный черный (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-princessa-nuri-vysokogornyj,5990,6790,ПРИНЦЕССА НУРИ
225983,"Чай Принцесса Нури высокогорный черный (2г x 50 шт), 100г",https://online.metro-cc.ru/products/chernyj-princessa-nuri-vysokogornyj-50h2g,9990,12000,ПРИНЦЕССА НУРИ
634731,"Чай Принцесса Нури отборный черный (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-princessa-nuri-otbornyj,5990,6490,ПРИНЦЕССА НУРИ
92809,"Чай Принцесса Нури черный цейлонский (2г x 100шт), 200г",https://online.metro-cc.ru/products/princessa-nuri-chernyj-cejlonskij-100x2g,21900,23900,ПРИНЦЕССА НУРИ
